Relatório de termos de pesquisa
27 de julho de 2026 - 16 de setembro de 2026
Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Grupo de anúncios,Cliques,Impr.,CTR,Código da moeda,Custo,Conversões,CPC méd.,Taxa de conv.,Custo / conv.
nexia engenharia industrial s a porto alegre,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,1,1,"100,00%",BRL,"4,12","0,00","4,12","0,00%","0,00"
projeto eletrico galpão,Correspondência de frase (variação aproximada),Excluído,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
betel engenharia curitiba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
codeme jf,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
c3 engenharia macaé,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
laage montagem e engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa superus,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
iplan piracicaba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
estrutural offshore,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa kaefer teckma,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
iesa projetos equipamentos e montagens,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engenharia de processo industrial,Correspondência exata (variante aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
pollomag aracruz,Correspondência de frase (variação aproximada),Excluído,Engenharia Industrial,1,1,"100,00%",BRL,"3,05","0,00","3,05","0,00%","0,00"
omega service montagem manutenção industrial estrutura metálica e usinagem são luís,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
rp engenharia industrial ltda fotos,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
tse engenharia e automação santos,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa kempetro,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,1,1,"100,00%",BRL,"1,66","0,00","1,66","0,00%","0,00"
teman engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
sl process engenharia industrial,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,6,9,"66,67%",BRL,"6,73","0,00","1,12","0,00%","0,00"
empresa kw brasil,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
python engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
petroenge macaé,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
priner empresa,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
lara reengenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
codeme engenharia juiz de fora,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
projeto industrial,Correspondência exata,Adicionado,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa forship engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
heftos macae,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engegroup americana,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
solum sales oliveira,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
nexia engenharia industrial s a,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,4,36,"11,11%",BRL,"18,10","0,00","4,53","0,00%","0,00"
empresa proeng,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
montarsul group rio grande,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
praenge,Correspondência de frase (variação aproximada),Excluído,Engenharia Industrial,1,3,"33,33%",BRL,"1,82","0,00","1,82","0,00%","0,00"
tpcons construções e montagens engenharia industrial fotos,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
vlit,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa zeentech,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
python engenharia itapetininga,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
mse empresa,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
npe paulinia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
c3 engenharia paulínia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
rp engenharia montagem e manutenção industrial,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa vinil engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa montisol,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
tractebel rio de janeiro,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa heftos,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engenheiro industrial,Correspondência exata (variante aproximada),Nenhum,Engenharia Industrial,0,3,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
estudo de viabilidade economica,Correspondência exata (variante aproximada),Nenhum,Viabilidade Industrial,1,5,"20,00%",BRL,"5,01","0,00","5,01","0,00%","0,00"
empresa c3 engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
intecnial erechim rs,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engecampo engenharia industrial,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
especialização em engenharia de processos industriais,Correspondência de frase,Excluído,Engenharia Industrial,1,4,"25,00%",BRL,"5,59","0,00","5,59","0,00%","0,00"
mcm engenharia industrial,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,1,2,"50,00%",BRL,"1,55","0,00","1,55","0,00%","0,00"
tudo sobre engenharia de produção,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
Total: Termos de pesquisa,,,,27,383,"7,05%",BRL,"78,56","0,00","2,91","0,00%","0,00"
Total: Outros termos de pesquisa,,,,17,347,"4,90%",BRL,"76,00","1,00","4,47","5,88%","76,00"
Total: Campanha,,,,44,730,"6,03%",BRL,"154,56","1,00","3,51","2,27%","154,56"
